"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 159
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_view_model.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_one\onboarding_one_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_three\onboarding_three_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_views\onboarding_two\onboarding_two_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 122
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\select_app_view\select_app_widgets\select_app_widget.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\theme\light_theme\light_theme_colors.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\assets_build_constant\image_build_constant.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\assets_build_constant\svg_build_constant.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\compress_utils.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 39
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\router\app_router.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\widget_utility\fav_button_service.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\pubspec.yaml", "YAML", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 85
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\test\widget_test.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 29
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\web\index.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 39, 4402, 10, 3549, 91, 37, 322, 1, 12, 8, 186, 648, 9305
